SKU tienda,Nombre del producto,Marca,Categoría,Subcategoría,Tienda,Precio normal,Precio final,Descuento,Precio tarjeta,Estado,Fecha,Hora actualización,URL
alg-01-07788,"pro plan cat sterilized optirenal 7,5 kg",pro plan,--,--,Best for Pets,62500,46875,25%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/161-2984-pro-plan-cat-sterilized-optirenal.html
alg-01-03282,filetes de salmon con salsa 1 lata,fancy feast,--,--,Best for Pets,,891,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-humedo-para-gatos/164-2217-filetes-de-salmon-con-salsa.html
alg-01-03284,pollo con zanahoria en salsa 1 lata,fancy feast,--,--,Best for Pets,,891,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-humedo-para-gatos/165-2220-pollo-con-zanahoria-en-salsa.html
alg-01-03281,pollo en salsa 1 lata,fancy feast,--,--,Best for Pets,,891,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-humedo-para-gatos/166-2223-pollo-en-salsa.html
alg-01-03283,trucha con espinacas 1 lata,fancy feast,--,--,Best for Pets,,891,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-humedo-para-gatos/167-2226-trucha-con-espinacas.html
alp-40-07430,brit care weight loss rabbit hypoallergenic 3 kg,brit care,--,--,Best for Pets,25900,20720,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2350-2558-brit-care-weight-loss-rabbit-hypoallergenic.html
alg-15-02235,"royal canin mother & babycat 1,5 kg",royal canin,--,--,Best for Pets,,13325,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/184-111-royal-canin-mother-babycat.html
alp-40-07431,brit care weight loss rabbit hypoallergenic 12 kg,brit care,--,--,Best for Pets,86500,69200,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2350-2559-brit-care-weight-loss-rabbit-hypoallergenic.html
alg-15-07406,"royal canin urinary care 7,5 kg",royal canin,--,--,Best for Pets,76900,61520,20%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/2333-2518-royal-canin-urinary-care.html
alg-40-07667,lucky adult cat 7 kg,brit care,--,--,Best for Pets,,39510,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-brit-care-para-gatos/2496-2837-lucky-adult-cat.html
alg-40-07668,monty indoor cat 7 kg,brit care,--,--,Best for Pets,,39510,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-brit-care-para-gatos/2498-2839-monty-indoor-cat.html
alg-40-07669,sunny cat beautiful hair 7 kg,brit care,--,--,Best for Pets,,44910,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-brit-care-para-gatos/2499-2841-sunny-cat-beautiful-hair.html
alg-40-07670,missy sterilised cat 7 kg,brit care,--,--,Best for Pets,,39510,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-brit-care-para-gatos/2501-2843-missy-sterilised-cat.html
alg-40-07671,cocco gourmand cat 7 kg,brit care,--,--,Best for Pets,,49410,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-brit-care-para-gatos/2502-2845-cocco-gourmand-cat.html
alg-01-00038,cat chow adultos sabor carne 8 kg,cat chow,--,--,Best for Pets,39900,27930,30%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/2769-3471-cat-chow-adultos-sabor-carne.html
alg-01-00043,cat chow adultos sabor pescado 8 kg,cat chow,--,--,Best for Pets,39900,27930,30%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/2771-3491-cat-chow-adultos-sabor-pescado.html
alp-03-00185,"hills science diet adult light small bites canino 6,8 kg",hills,--,--,Best for Pets,,53010,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/133-420-hill%C2%B4s-science-diet-adult-light-small-bites-canino.html
alp-07-06013,pro pac ultimates heartland choice 12 kg,pro pac,--,--,Best for Pets,,64720,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/1859-1060-pro-pac-ultimates%E2%84%A2-heartland-choice.html
alp-40-07414,brit care puppy salmon grain free 3 kg,brit care,--,--,Best for Pets,26900,21520,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2343-2539-brit-care-puppy-salmon-grain-free.html
alp-40-07415,brit care puppy salmon grain free 12 kg,brit care,--,--,Best for Pets,86500,69200,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2343-2540-brit-care-puppy-salmon-grain-free.html
alg-15-02250,"royal canin sensible 33 felino 1,5 kg",royal canin,--,--,Best for Pets,18500,14800,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/192-116-royal-canin-sensible-33-felino.html
alg-15-02294,"royal canin urinary s/o felino 1,5 kg",royal canin,--,--,Best for Pets,,19125,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/203-5046-royal-canin-urinary-so-felino.html
alg-15-02253,"royal canin hairball care felino 1,5 kg",royal canin,--,--,Best for Pets,,16915,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/193-119-royal-canin-hairball-care-felino.html
alg-15-02255,royal canin hair & skin care felino 2 kg,royal canin,--,--,Best for Pets,26500,21200,20%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/194-13192-royal-canin-hair-skin-care-felino.html
alg-15-07648,"royal canin sensible 33 felino 7,5 kg",royal canin,--,--,Best for Pets,74900,59920,20%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/192-2834-royal-canin-sensible-33-felino.html
alg-15-02257,"royal canin light felino 1,5 kg",royal canin,--,--,Best for Pets,,14235,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/195-123-royal-canin-light-felino.html
alg-15-02258,"royal canin light felino 7,5 kg",royal canin,--,--,Best for Pets,,53885,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/195-124-royal-canin-light-felino.html
alp-14-02155,reduced fat formula 6.8 kg,bil-jac,--,--,Best for Pets,,34900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-bil-jac-para-perros/2335-2523-reduced-fat-formula.html
alp-14-02154,reduced fat formula 13.6 kg,bil-jac,--,--,Best for Pets,,77900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-bil-jac-para-perros/2335-2524-reduced-fat-formula.html
cug-01-00056,tidy cats arena no aglutinante,tidy cats,--,--,Best for Pets,,13500,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/182--tidy-cats-arena-no-aglutinante.html
cug-01-00054,tidy cats arena aglutinante scoop,tidy cats,--,--,Best for Pets,,13500,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/183--tidy-cats-arena-aglutinante-scoop.html
cug-40-07723,brit ultra bentonite for cats 10 kg,brit care,--,--,Best for Pets,16500,14850,10%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2542-2897-brit-ultra-bentonite-for-cats.html
alp-02-00110,adult small breed 6.8 kg,eukanuba,--,--,Best for Pets,,42925,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-eukanuba-para-perros/63-2009-adult-small-breed.html
alp-02-00111,adult small breed 12.7 kg,eukanuba,--,--,Best for Pets,,43110,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-eukanuba-para-perros/63-2431-adult-small-breed.html
alp-02-00102,puppy medium breed 14.97 kg,eukanuba,--,--,Best for Pets,,70900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-especial-cachorros/69-2008-puppy-medium-breed.html
alp-06-01266,nutra-nuggets lite/senior 15 kg,nutra nuggets,--,--,Best for Pets,,49900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-nutra-nuggets-para-perros/52-51-nutra-nuggets-litesenior-.html
alp-01-00060,pro plan puppy optistart medium breed canino 15 kg,pro plan,--,--,Best for Pets,,73015,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/177-84-pro-plan-puppy-optistart-medium-breed-canino.html
alp-15-02202,royal canin maxi puppy 15 kg,royal canin,--,--,Best for Pets,,89165,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/230-142-royal-canin-maxi-puppy.html
alp-14-02158,puppy select formula 6.8 kg,bil-jac,--,--,Best for Pets,,40900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-especial-cachorros/2336-2526-puppy-select-formula.html
alp-14-07411,"bil jac large breed puppy dog food 13,6 kg",bil-jac,--,--,Best for Pets,,53505,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2342-2537-bil-jac-large-breed-puppy-dog-food.html
alp-14-02157,"bil jac puppy select formula 13,6 kg",bil-jac,--,--,Best for Pets,,52155,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2336-2527-bil-jac-puppy-select-formula.html
alp-03-00151,hills science diet puppy chicken meal & barley recipe 7 kg,hills,--,--,Best for Pets,69500,59075,15%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/143-1411-hill%C2%B4s-science-diet-puppy-chicken-meal-barley-recipe.html
alp-03-00149,hills science diet puppy small bites chicken & barley recipe 7 kg,hills,--,--,Best for Pets,70500,59925,15%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/144-74-hill%C2%B4s-science-diet-puppy-small-bites-chicken-barley-recipe.html
alp-03-00152,"hills science diet puppy chicken meal & barley recipe 13,6 kg",hills,--,--,Best for Pets,101500,86275,15%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/143-3409-hill%C2%B4s-science-diet-puppy-chicken-meal-barley-recipe.html
alp-01-07743,om overweight canine 1.5 kg,pro plan,--,--,Best for Pets,,11610,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-pro-plan-para-perros/2552-2916-om-overweight-canine.html
alp-01-07742,"pro plan veterinary diets en gastrointestinal formula canina 7,5 kg",pro plan,--,--,Best for Pets,,55165,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2551-2915-pro-plan-veterinary-diets-en-gastrointestinal-f%C3%B3rmula-canina.html
alp-01-07744,"pro plan veterinary diets om obesidad formula canina 7,5 kg",pro plan,--,--,Best for Pets,,55165,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2552-2917-pro-plan-veterinary-diets-om-obesidad-f%C3%B3rmula-canina.html
alp-01-07745,"pro plan veterinary diets nf funcion renal formula canina 1,5 kg",pro plan,--,--,Best for Pets,25900,22015,15%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2553-2918-pro-plan-veterinary-diets-nf-funci%C3%B3n-renal-f%C3%B3rmula-canina.html
alp-01-07746,"pro plan veterinary diets nf funcion renal formula canina 7,5 kg",pro plan,--,--,Best for Pets,,53975,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2553-2919-pro-plan-veterinary-diets-nf-funci%C3%B3n-renal-f%C3%B3rmula-canina.html
alp-03-00195,"hills prescription diet c/d urinary care multicare canino 3,85 kg",hills,--,--,Best for Pets,,43110,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/115-1626-hill%C2%B4s-prescription-diet-cd-urinary-care-multicare-canino.html
alp-03-00200,"hills prescription diet h/d heart care 7,9 kg",hills,--,--,Best for Pets,,83610,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/116-1441-hill%C2%B4s-prescription-diet-hd-heart-care.html
alp-03-00203,"hills prescription diet i/d digestive care canino 3,85 kg",hills,--,--,Best for Pets,61500,52275,15%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/119-964-hill%C2%B4s-prescription-diet-id-digestive-care-canino.html
alp-03-00211,"hills prescription diet k/d kidney care 3,85 kg",hills,--,--,Best for Pets,,44115,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/122-814-hill%C2%B4s-prescription-diet-kd-kidney-care.html
alp-03-00212,"hills prescription diet k/d kidney care 7,9 kg",hills,--,--,Best for Pets,,82875,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/122-3410-hill%C2%B4s-prescription-diet-kd-kidney-care.html
alp-03-00219,"hills prescription diet r/d weight loss canino 3,85 kg",hills,--,--,Best for Pets,,47610,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/124-816-hill%C2%B4s-prescription-diet-rd-weight-loss-canino.html
alp-03-00231,"hills prescription diet u/d urinary care canino 3,85 kg",hills,--,--,Best for Pets,,52275,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/126-1628-hill%C2%B4s-prescription-diet-ud-urinary-care-canino.html
alp-03-00220,"hills prescription diet r/d weight loss canino 7,9 kg",hills,--,--,Best for Pets,,86850,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/124-3411-hill%C2%B4s-prescription-diet-rd-weight-loss-canino.html
alp-45-08093,"acana free run-poultry 5,9 kg",acana,--,--,Best for Pets,51500,41200,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2780-3515-acana-free-run-poultry.html
alp-45-08096,"acana freshwater fish 5,9 kg",acana,--,--,Best for Pets,54900,43920,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2781-3518-acana-freshwater-fish.html
alp-45-08097,"acana freshwater fish 11,35 kg",acana,--,--,Best for Pets,86900,69520,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2781-3519-acana-freshwater-fish.html
alp-45-08102,wild atlantic dog 5.9 kg,acana,--,--,Best for Pets,,57715,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-acana-para-perros/2783-3525-wild-atlantic-dog.html
alp-45-08099,meadowland dog 5.9 kg,acana,--,--,Best for Pets,,56865,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-acana-para-perros/2782-3521-meadowlands-dog.html
alp-45-08103,"acana wild atlantic dog 11,35 kg",acana,--,--,Best for Pets,105900,84720,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2783-3526-acana-wild-atlantic-dog.html
alp-45-08100,"acana meadowland dog 11,35 kg",acana,--,--,Best for Pets,104900,83920,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2782-3522-acana-meadowland-dog.html
alp-14-02152,adult select formula 6.8 kg,bil-jac,--,--,Best for Pets,,39900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-bil-jac-para-perros/2334-2520-adult-select-formula.html
alp-14-07409,large breed adult dog food 13.6 kg,bil-jac,--,--,Best for Pets,,85900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-bil-jac-para-perros/2341-2535-large-breed-adult-dog-food.html
alp-14-02151,adult select formula 13.6 kg,bil-jac,--,--,Best for Pets,,77900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-bil-jac-para-perros/2334-2521-adult-select-formula.html
alp-14-02161,senior select formula 6.8 kg,bil-jac,--,--,Best for Pets,,37900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-bil-jac-para-perros/2337-2529-senior-select-formula.html
alp-40-07417,brit care junior large breed salmon grain free 3 kg,brit care,--,--,Best for Pets,26900,21520,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2344-2542-brit-care-junior-large-breed-salmon-grain-free.html
alp-14-02160,senior select formula 13.6 kg,bil-jac,--,--,Best for Pets,,80900,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-bil-jac-para-perros/2337-2530-senior-select-formula.html
alp-40-07418,brit care junior large breed salmon grain free 12 kg,brit care,--,--,Best for Pets,86500,69200,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2344-2543-brit-care-junior-large-breed-salmon-grain-free.html
alp-40-07420,brit care adult salmon grain free 3 kg,brit care,--,--,Best for Pets,25900,20720,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2345-2545-brit-care-adult-salmon-grain-free.html
alp-40-07421,brit care adult salmon grain free 12 kg,brit care,--,--,Best for Pets,83900,67120,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2345-2546-brit-care-adult-salmon-grain-free.html
alp-40-07423,brit care adult large breed salmon grain free 12 kg,brit care,--,--,Best for Pets,83900,67120,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2346-2549-brit-care-adult-large-breed-salmon-grain-free.html
alp-40-07425,adult giant 12 kg,brit care,--,--,Best for Pets,,72165,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2347-2551-adult-giant.html
alp-40-07433,brit care endurance 3 kg,brit care,--,--,Best for Pets,,22015,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2351-2561-brit-care-endurance.html
alp-40-07434,brit care endurance 12 kg,brit care,--,--,Best for Pets,,68425,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2351-2562-brit-care-endurance.html
alp-40-07427,brit care senior & light salmon grain free 3 kg,brit care,--,--,Best for Pets,25900,20720,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2349-2555-brit-care-senior-light-salmon-grain-free.html
alp-40-07428,brit care senior & light salmon grain free 12 kg,brit care,--,--,Best for Pets,83900,67120,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2349-2556-brit-care-senior-light-salmon-grain-free.html
alp-01-00026,adultos medianos y grandes carne y pollo 21 kg,dog chow,--,--,Best for Pets,,34110,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-dog-chow-para-perros/2516-3497-adultos-raza-mediana-y-grande.html
alp-01-00020,adultos minis y pequeños carne y pollo 8 kg,dog chow,--,--,Best for Pets,,21510,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-dog-chow-para-perros/3497-5082-adultos-minis-y-pequeu00f1os-carne-y-pollo.html
alp-03-00161,"hills science diet adult chicken & barley recipe 6,8 kg",hills,--,--,Best for Pets,,55710,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/129-1438-hill%C2%B4s-science-diet-adult-chicken-barley-recipe.html
alp-03-00178,"hills science diet adult 7+ small bites 6,8 kg",hills,--,--,Best for Pets,,55710,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/141-72-hill%C2%B4s-science-diet-adult-7-small-bites.html
alp-03-00179,"hills science diet adulto 7+ chicken meal barley brown rice recipe 6,8 kg",hills,--,--,Best for Pets,,53010,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/140-3419-hill%C2%B4s-science-diet-adulto-7-chicken-meal-barley-brown-rice-recipe.html
alp-45-08087,"orijen original dog 5,9 kg",orijen,--,--,Best for Pets,78500,62800,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2778-3509-orijen-original-dog.html
alp-45-08090,"orijen six fish dog 5,9 kg",orijen,--,--,Best for Pets,78500,62800,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2779-3512-orijen-six-fish-dog.html
alp-07-06015,pro pac ultimates bayside select 12 kg,pro pac,--,--,Best for Pets,,64720,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/1860-1062-pro-pac-ultimates%E2%84%A2-bayside-select.html
alp-01-07786,pro plan active mind +7 small breed 3 kg,pro plan,--,--,Best for Pets,,26775,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2585-2982-pro-plan-active-mind-7-small-breed.html
alp-01-06716,pro plan exigent dog small breed 3 kg,pro plan,--,--,Best for Pets,,26775,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2146-3566-pro-plan-exigent-dog-small-breed.html
alp-01-07784,pro plan active mind +7 medium and large breed 3 kg,pro plan,--,--,Best for Pets,,26775,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2584-2980-pro-plan-active-mind-7-medium-and-large-breed.html
alp-01-06113,delicate structure mini&small breed canino 3 kg,pro plan,--,--,Best for Pets,,17100,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-pro-plan-para-perros/1916-4100-delicate-small-breed-canino.html
alp-07-06020,pro pac ultimates mature 12 kg,pro pac,--,--,Best for Pets,90900,68175,25%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/1858-1058-pro-pac-ultimates%E2%84%A2-mature.html
alp-01-07787,"pro plan active mind +7 small breed 7,5 kg",pro plan,--,--,Best for Pets,,58565,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2585-2983-pro-plan-active-mind-7-small-breed.html
alp-01-07785,pro plan active mind +7 medium and large breed 15 kg,pro plan,--,--,Best for Pets,,63375,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2584-2981-pro-plan-active-mind-7-medium-and-large-breed.html
alp-01-00069,pro plan adult optihealth small breed canino 3 kg,pro plan,--,--,Best for Pets,28500,24225,15%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/176-834-pro-plan-adult-optihealth-small-breed-canino.html
alp-01-00070,"pro plan adult optihealth small breed canino 7,5 kg",pro plan,--,--,Best for Pets,59500,50575,15%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/176-835-pro-plan-adult-optihealth-small-breed-canino.html
alp-01-00066,pro plan adult optihealth medium breed canino 3 kg,pro plan,--,--,Best for Pets,27500,23375,15%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/174-81-pro-plan-adult-optihealth-medium-breed-canino.html
alp-01-00074,pro plan sensitive skin canino 3 kg,pro plan,--,--,Best for Pets,,25415,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/181-89-pro-plan-sensitive-skin-canino.html
alp-01-00075,pro plan sensitive skin canino 15 kg,pro plan,--,--,Best for Pets,84900,72165,15%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/181-90-pro-plan-sensitive-skin-canino.html
alp-01-00072,pro plan reduced calorie optifit canino 3 kg,pro plan,--,--,Best for Pets,,25075,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/180-87-pro-plan-reduced-calorie-optifit-canino.html
alp-01-00073,pro plan reduced calorie optifit canino 15 kg,pro plan,--,--,Best for Pets,,61875,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/180-88-pro-plan-reduced-calorie-optifit-canino.html
alp-15-02180,"royal canin mini adult canino 7,5 kg",royal canin,--,--,Best for Pets,61500,49200,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/215-947-royal-canin-mini-adult-canino.html
alp-15-02193,royal canin medium adult canino 15 kg,royal canin,--,--,Best for Pets,91500,73200,20%,,Disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/221-893-royal-canin-medium-adult-canino.html
alp-04-02167,bil jac gooberlicious dogs treats 0.283 kg,bil-jac,--,--,Best for Pets,,8500,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/snacks-para-perros/318-92-bil-jac-gooberlicious-dogs-treats.html
alp-15-02264,royal canin hypoallergenic canino 10 kg,royal canin,--,--,Best for Pets,112500,90000,20%,,Sin stock,22-02-2024,00:00,https://bestforpets.cl/tienda/251-146-royal-canin-hypoallergenic-canino.html
alg-15-02317,calorie control obesity,royal canin,--,--,Best for Pets,,2430,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-royal-canin-para-gatos/211--calorie-control-obesity.html
alg-15-02298,young male felino 3.5 kg,royal canin,--,--,Best for Pets,,32725,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-royal-canin-para-gatos/206-134-young-male-felino.html
alg-15-02300,young female felino 3.5 kg,royal canin,--,--,Best for Pets,,32725,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-royal-canin-para-gatos/207-136-young-female-felino.html
alg-03-00278,metabolic feline lata,hills,--,--,Best for Pets,,2970,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/alimento-hills-para-gatos/2749-6790-metabolic-feline-lata.html
alg-03-00277,"hills prescription diet metabolic feline 3,85 kg",hills,--,--,Best for Pets,,65250,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/2748-3404-hill%C2%B4s-prescription-diet-metabolic-feline.html
alp-03-00234,"hills prescription diet w/d multi-benefit 3,85 kg",hills,--,--,Best for Pets,,41850,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/127-818-hill%C2%B4s-prescription-diet-wd-multi-benefit.html
alp-03-00235,"hills prescription diet w/d multi-benefit 7,9 kg",hills,--,--,Best for Pets,,82710,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/127-1442-hill%C2%B4s-prescription-diet-wd-multi-benefit.html
alp-03-00184,"hills science diet adult light chicken & barley recipe 6,8 kg",hills,--,--,Best for Pets,,53550,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/132-1835-hill%C2%B4s-science-diet-adult-light-chicken-barley-recipe.html
alp-01-05233,excellent puppy chicken&rice 15 kg,excellent,--,--,Best for Pets,,39510,,,No disponible,22-02-2024,00:00,https://bestforpets.cl/tienda/1666-2212-excellent-puppy-chickenrice.html
