SKU,Nombre del producto,Marca,Categoría,Subcategoría,Precio de lista,Más bajo,Más alto,Precio mercado,Best for Pets (Final),Best for Pets (Normal),Best for Pets (Tarjeta),SKU Best for Pets,Club De Perros Y Gatos (Final),Club De Perros Y Gatos (Normal),Club De Perros Y Gatos (Tarjeta),SKU Club De Perros Y Gatos,DrPet (Final),DrPet (Normal),DrPet (Tarjeta),SKU DrPet,Laika Chile (Final),Laika Chile (Normal),Laika Chile (Tarjeta),SKU Laika Chile,NovaPet (Final),NovaPet (Normal),NovaPet (Tarjeta),SKU NovaPet,Pawal (Final),Pawal (Normal),Pawal (Tarjeta),SKU Pawal,Pet City (Final),Pet City (Normal),Pet City (Tarjeta),SKU Pet City,Pet Happy (Final),Pet Happy (Normal),Pet Happy (Tarjeta),SKU Pet Happy,Pet&Go (Final),Pet&Go (Normal),Pet&Go (Tarjeta),SKU Pet&Go,Petco Chile (Final),Petco Chile (Normal),Petco Chile (Tarjeta),SKU Petco Chile,PuntoMascotas (Final),PuntoMascotas (Normal),PuntoMascotas (Tarjeta),SKU PuntoMascotas,PyK (Final),PyK (Normal),PyK (Tarjeta),SKU PyK,Superzoo (Final),Superzoo (Normal),Superzoo (Tarjeta),SKU Superzoo,TusMascotas (Final),TusMascotas (Normal),TusMascotas (Tarjeta),SKU TusMascotas
12471511,DOG CHOW Control de Peso  8kg,dog chow,perro,seco,"$ 24,990","$ 21,150","$ 30,990","$ 24,706","$ 24,750",,,alp-01-12774,,,,,,,,,"$ 26,820","$ 29,800","$ 25,330",7613287327536,"$ 21,150",,,sa-12329383-ne,,,,,"$ 21,250","$ 24,990",,10002933,,,,,"$ 24,990",,,7347-11562,,,,,"$ 22,990",,,30045,,,,,"$ 30,990",,,1234,,,,
12434293,DOG CHOW Galletas PolloMedGde   500gr,dog chow,perro,,"$ 4,690","$ 4,190","$ 5,590","$ 4,932",,,,,,,,,,,,,"$ 4,700",,,7891000042052,"$ 5,590",,,sn-12434293-ne,"$ 4,190",,,228-364,"$ 4,690",,,10003114,,,,,"$ 5,490",,,7343-11557,,,,,,,,,,,,,,,,,,,,
12479465,Dog Chow Galletas Sabor Pollo- CACH Todos Los Tamaños  2 kg,dog chow,perro,,"$ 17,490","$ 17,490","$ 17,490","$ 17,490",,,,,,,,,,,,,,,,,,,,,,,,,"$ 17,490",,,10085592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12434258,DOGCHOW GalletasPolloMiniPeq   500gr,dog chow,perro,,"$ 4,690","$ 4,230","$ 5,490","$ 4,725",,,,,,,,,,,,,"$ 4,230","$ 4,700","$ 3,995",7891000042151,,,,,"$ 4,490",,,229-365,"$ 4,690",,,10003121,,,,,"$ 5,490",,,7344-11558,,,,,,,,,,,,,,,,,,,,
12434287,DOGCHOWGalletasPllyLecCchrTdTm  300gr,dog chow,perro,,"$ 3,550","$ 2,691","$ 4,690","$ 3,420",,,,,,,,,,,,,"$ 2,880","$ 3,200","$ 2,720",7891000071700,,,,,"$ 2,691","$ 2,990",,230-366,"$ 4,690",,,10003084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12418654,DogChowSaudeOralAdltMinisPeq20X45gXI  45gr,dog chow,perro,,"$ 1,190","$ 1,590","$ 1,590","$ 1,590",,,,,,,,,,,,,,,,,,,,,"$ 1,590",,,251-387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12418618,DogChowXLifeSaudeOralAdltMedGde20X80gXI  80 gr,dog chow,perro,,"$ 1,190","$ 1,490","$ 1,490","$ 1,490",,,,,,,,,,,,,,,,,,,,,"$ 1,490",,,250-386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311118,Doguitos Medallones de Carne (RP)  65gr,doguitos,perro,,"$ 1,520","$ 1,200","$ 1,700","$ 1,450","$ 1,700",,,alp-01-13839,,,,,,,,,,,,,"$ 1,500",,,sn-12311118-ne,,,,,"$ 1,520",,,10003039,,,,,,,,,,,,,"$ 1,490","$ 1,990",,32777,"$ 1,200",,,527,,,,,"$ 1,290","$ 1,990",,7891000098479
12375748,DOGUITOS Tira Asado 15x65g N1 XI  65gr,doguitos,perro,,"$ 1,520","$ 1,300","$ 1,700","$ 1,519","$ 1,700",,,alp-01-13837,,,,,,,,,"$ 1,530","$ 1,700","$ 1,445",7891000098240,"$ 1,500",,,sn-12375748-ne,"$ 1,590",,,231-367,"$ 1,520",,,10003060,,,,,,,,,,,,,"$ 1,490","$ 1,990",,32774,"$ 1,300",,,677,,,,,,,,
12484571,DOKO Adt Carne&Cereales 18kg N1 CL  18 kg,doko,perro,seco,"$ 33,290","$ 26,990","$ 32,990","$ 29,207",,,,,,,,,,,,,,,,,"$ 32,990",,,sa-12391163-ne,,,,,"$ 27,640","$ 33,290",,10058879,,,,,,,,,,,,,"$ 26,990",,,30061,,,,,,,,,,,,
12463654,DOKO Cchr Carne&Leche  18kg,doko,perro,seco,"$ 36,530","$ 29,990","$ 36,900","$ 33,010",,,,,,,,,,,,,"$ 34,830","$ 38,700","$ 32,895",7613287194152,"$ 36,900","$ 41,000",,sa-12463654-ne,,,,,"$ 30,320","$ 36,530",,10066904,,,,,,,,,,,,,"$ 29,990",,,30060,,,,,,,,,,,,
12434464,FELIX CLASSIC con Atún15x85gXI  85 gr,felix,gato,,$ 860,$ 621,"$ 1,190",$ 859,$ 621,,,alg-01-10118,,,,,,,,,$ 990,"$ 1,100",$ 935,7891000120774,$ 699,$ 785,,sn-12434464-ne,$ 792,$ 990,,199-336,$ 860,,,10084496,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7240,,,,
12434456,FELIX CLASSIC con Carne15x85gXI  85 gr,felix,gato,,$ 860,$ 699,"$ 1,190",$ 874,$ 891,,,alg-01-10117,,,,,,,,,$ 810,$ 900,$ 765,7891000241066,$ 699,$ 785,,sn-12434456-ne,$ 792,$ 990,,196-333,$ 860,,,10079621,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7239,,,,
12434380,FELIX CLASSIC con Pavo15x85gXI  85 gr,felix,gato,,$ 860,$ 500,$ 891,$ 759,$ 891,,,alg-01-10119,,,,,,,,,$ 810,$ 900,$ 765,7891000241196,$ 699,$ 785,,sn-12434380-ne,$ 792,$ 990,,201-338,$ 860,,,10079645,,,,,,,,,,,,,,,,,,,,,$ 500,,,7241,,,,
12434296,FELIX CLASSIC con Pescado Blanco15x85gXI  85 gr,felix,gato,,$ 860,$ 699,"$ 1,190",$ 912,$ 891,,,alg-01-10121,,,,,,,,,$ 990,"$ 1,100",$ 935,7891000241134,$ 699,$ 785,,sn-12434296-ne,$ 792,$ 990,,200-337,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7243,,,,
12434373,FELIX CLASSIC con Pollo e Hígado15x85gXI  85 gr,felix,gato,,$ 860,$ 621,"$ 1,190",$ 859,$ 621,,,alg-01-10116,,,,,,,,,$ 990,"$ 1,100",$ 935,7891000241172,$ 699,$ 785,,sn-12434373-ne,$ 792,$ 990,,197-334,$ 860,,,10079669,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7238,,,,
12434450,FELIX CLASSIC con Salmón15x85gXI  85 gr,felix,gato,,$ 860,$ 699,"$ 1,190",$ 840,$ 711,,,alg-01-10120,,,,,,,,,$ 810,$ 900,$ 765,7891000241080,$ 699,$ 785,,sn-12434450-ne,$ 792,$ 990,,198-335,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7242,,,,
12434446,FELIX CLASSIC Gatitos con Carne15x85gXI  85 gr,felix,gato,,$ 860,$ 699,$ 891,$ 815,$ 891,,,alg-01-10113,,,,,,,,,$ 810,$ 900,$ 765,7891000240625,$ 699,$ 785,,sn-12434446-ne,,,,,$ 860,,,10079638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12434457,FELIX CLASSIC Gatitos con Pesc15x85gXI  85 gr,felix,gato,,$ 860,$ 699,$ 891,$ 816,$ 891,,,alg-01-10114,,,,,,,,,$ 810,$ 900,$ 765,7891000240588,$ 699,$ 785,,sn-12434457-ne,$ 792,$ 990,,205-342,,,,,,,,,,,,,,,,,,,,,,,,,$ 890,,,7247,,,,
12434307,FELIX CLASSIC Gatitos con Pollo15x85gXI  85 gr,felix,gato,,$ 860,$ 699,"$ 1,190",$ 894,$ 891,,,alg-01-10115,,,,,,,,,$ 900,,,7891000241110,$ 699,$ 785,,sn-12434307-ne,$ 792,$ 990,,206-343,,,,,,,,,,,,,,,,,,,,,,,,,"$ 1,190",,,7248,,,,
12448680,FELIX Fantastic Deli Atún  85 gr,felix,gato,,$ 860,$ 890,$ 890,$ 890,,,,,,,,,,,,,,,,,$ 890,,,sn-12448680-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448665,FELIX Fantastic Tiritas Carne  85 gr,felix,gato,,$ 860,$ 890,$ 890,$ 890,,,,,,,,,,,,,,,,,$ 890,,,sn-12448665-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448681,FELIX FantasticMix SalmónCarne  85 gr,felix,gato,,$ 860,$ 890,$ 890,$ 890,,,,,,,,,,,,,,,,,$ 890,,,sn-12448681-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12313892,FELIX TRAVESURAS Ocean Mix   60gr,felix,gato,,"$ 1,520","$ 1,440","$ 1,990","$ 1,610",,,,,,,,,,,,,"$ 1,440","$ 1,600","$ 1,360",7891000117590,"$ 1,600",,,sn-12313892-ne,"$ 1,521","$ 1,790",,249-385,"$ 1,520",,,10045886,,,,,,,,,,,,,"$ 1,590",,,37753,,,,,"$ 1,990",,,7385,,,,
12313891,FELIX TRAVESURAS Original Mix   60gr,felix,gato,,"$ 1,520","$ 1,350","$ 1,600","$ 1,480",,,,,,,,,,,,,"$ 1,350","$ 1,500","$ 1,275",7891000117576,"$ 1,600",,,sn-12313891-ne,"$ 1,432","$ 1,790",,248-384,"$ 1,520",,,10067383,,,,,,,,,,,,,"$ 1,590",,,37754,,,,,"$ 1,390",,,7384,,,,
12471418,Gatito Carne 6 Kg  6 kg,purina one,gato,seco,"$ 45,490","$ 37,990","$ 51,900","$ 42,896","$ 44,450",,,alg-01-12590,,,,,,,,,"$ 51,900",,,7613287333957,"$ 41,990",,,sa-12471418-ne,"$ 38,151","$ 42,390",,180-306,,,,,,,,,,,,,,,,,"$ 37,990",,,39635,,,,,,,,,,,,
12465849,ONE Adulto Med Grande Carne 12kg AR,purina one,perro,seco,"$ 49,990","$ 40,990","$ 50,850","$ 45,284","$ 50,850",,,alp-01-12588,,,,,,,,,"$ 46,800","$ 52,000","$ 44,200",7613287227232,"$ 44,990",,,sa-12465849-ne,"$ 42,790",,,175-296,,,,,,,,,,,,,,,,,"$ 40,990",,,39641,,,,,,,,,,,,
12465588,ONE Adulto Med Grande Carne 6kg AR,purina one,perro,,"$ 32,890","$ 26,950","$ 32,670","$ 29,528","$ 26,950",,,alp-01-09844,,,,,,,,,"$ 32,670","$ 36,300","$ 30,855",7613287225535,"$ 29,500",,,sa-12465588-ne,"$ 28,990",,,175-297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12465860,ONE Adulto Med Grande Cordero 12kg AR,purina one,perro,seco,"$ 51,990","$ 42,790","$ 50,850","$ 46,877","$ 50,850",,,alp-01-12589,,,,,,,,,,,,,"$ 46,990",,,sa-12465860-ne,"$ 42,790",,,176-298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12465850,ONE Adulto Med Grande Cordero 6kg AR,purina one,perro,,"$ 33,990","$ 26,990","$ 34,650","$ 30,905","$ 34,650",,,alp-01-09845,,,,,,,,,,,,,"$ 32,990",,,sa-12465850-ne,"$ 28,990",,,176-299,,,,,,,,,,,,,,,,,"$ 26,990",,,39642,,,,,,,,,,,,
12465838,ONE Adulto Med Grande Cordero 6x2kg AR,purina one,perro,,"$ 12,690","$ 9,990","$ 12,500","$ 11,245",,,,,,,,,,,,,,,,,"$ 12,500",,,sa-12465838-ne,,,,,,,,,,,,,,,,,,,,,"$ 9,990",,,39643,,,,,,,,,,,,
12465594,ONE Adulto Mini Peq Carne 6x2kg AR  2 Kg,purina one,perro,seco,"$ 12,690","$ 8,990","$ 12,060","$ 10,847",,,,,,,,,,,,,"$ 12,060","$ 13,400","$ 11,390",7613287225191,"$ 11,490",,,sa-12465594-ne,,,,,,,,,,,,,,,,,,,,,"$ 8,990",,,39644,,,,,,,,,,,,
12465597,ONE Adulto Mini Peq Cordero 6kg AR  6 Kg,purina one,perro,seco,"$ 33,990","$ 26,990","$ 34,650","$ 30,877","$ 34,650",,,alp-01-12587,,,,,,,,,,,,,"$ 30,990",,,sa-12465597-ne,,,,,,,,,,,,,,,,,,,,,"$ 26,990",,,39645,,,,,,,,,,,,
12465596,ONE Adulto Mini Peq Cordero 6x2kg AR  2 Kg,purina one,perro,,"$ 13,290","$ 9,990","$ 12,950","$ 11,813","$ 12,950",,,alp-01-12586,,,,,,,,,,,,,"$ 12,500",,,sa-12465596-ne,,,,,,,,,,,,,,,,,,,,,"$ 9,990",,,39646,,,,,,,,,,,,
12465589,ONE Cachorro 12kg AR  12 Kg,purina one,perro,seco,"$ 49,990","$ 40,990","$ 48,870","$ 44,138","$ 41,700","$ 69,500",,alp-01-12584,,,,,,,,,"$ 48,870","$ 54,300","$ 46,155",7613287225139,"$ 44,990",,,sa-12465589-ne,,,,,,,,,,,,,,,,,,,,,"$ 40,990",,,39647,,,,,,,,,,,,
12465593,ONE Cachorro 6kg AR  6 Kg,purina one,perro,,"$ 32,890","$ 26,990","$ 32,220","$ 29,185","$ 27,540","$ 45,900",,alp-01-12585,,,,,,,,,"$ 32,220","$ 35,800","$ 30,430",7613287225115,"$ 29,990",,,sa-12465593-ne,,,,,,,,,,,,,,,,,,,,,"$ 26,990",,,39648,,,,,,,,,,,,
12465613,ONE Cachorro 6x2kg AR  2 Kg,purina one,perro,,"$ 12,690","$ 9,990","$ 11,700","$ 11,063",,,,,,,,,,,,,"$ 11,700","$ 13,000","$ 11,050",7613287224897,"$ 11,500",,,sa-12465613-ne,,,,,,,,,,,,,,,,,,,,,"$ 9,990",,,39649,,,,,,,,,,,,
12466110,ONE Esterilizado Salmon 6kg AR  6 kg,purina one,perro,,"$ 45,490","$ 29,990","$ 43,380","$ 39,006","$ 41,520",,,alg-01-12593,,,,,,,,,"$ 43,380","$ 48,200","$ 40,970",7613287230522,"$ 41,990",,,sa-12466110-ne,"$ 38,151","$ 42,390",,179-304,,,,,,,,,,,,,,,,,"$ 29,990",,,39833,,,,,,,,,,,,
12466089,ONE Esterilizado Salmon 6x2kg AR  2 kg,purina one,perro,,"$ 18,290","$ 14,990","$ 17,990","$ 16,545",,,,,,,,,,,,,"$ 17,460","$ 19,400","$ 16,490",7613287230508,"$ 17,990",,,sa-12466089-ne,"$ 15,741","$ 17,490",,179-305,,,,,,,,,,,,,,,,,"$ 14,990",,,39634,,,,,,,,,,,,
12466092,ONE Gatito 6x2kg AR  2 kg,purina one,gato,seco,"$ 18,290","$ 15,741","$ 20,100","$ 17,277",,,,,,,,,,,,,"$ 20,100",,,7613287229991,"$ 15,990",,,sa-12466092-ne,"$ 15,741","$ 17,490",,180-307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12466084,ONE Gato Carne 6kg AR  6 kg,purina one,perro,,"$ 45,490","$ 38,151","$ 48,700","$ 43,340","$ 41,520",,,alg-01-12591,,,,,,,,,"$ 48,700",,,7613287230409,"$ 44,990",,,sa-12466084-ne,"$ 38,151","$ 42,390",,177-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12466083,ONE Gato Carne 6x2kg AR  2 kg,purina one,perro,,"$ 18,290","$ 14,990","$ 18,090","$ 16,703",,,,,,,,,,,,,"$ 18,090","$ 20,100","$ 17,085",7613287230386,"$ 17,990",,,sa-12466083-ne,"$ 15,741","$ 17,490",,177-301,,,,,,,,,,,,,,,,,"$ 14,990",,,39636,,,,,,,,,,,,
