,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
10,grid3-desktop,grid_ofertas,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709146173593-clt65i3rt0igmv5rgn4aqe5cr.jpg,2024-03-06 19:17:17.056837,Productos Milka y Oreo con hasta 50% de descuento,Amantes del chocolate,"['chocolates', 'galletas', 'dulces']","['Milka', 'Oreo']","[{'nombre_del_producto': 'Milka Oreo', 'precio_normal': '$2.000', 'precio_oferta': '$1.000', 'descuento': '50%'}, {'nombre_del_producto': 'Milka Original', 'precio_normal': '$2.000', 'precio_oferta': '$1.000', 'descuento': '50%'}]",,,
11,grid4-desktop,grid_ofertas,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709146566760-clt65qj540m1qw7rgx3ghfvt3.jpg,2024-03-06 19:17:17.056837,Hasta 25% de descuento en productos para el cuidado del adulto mayor,Adultos mayores con incontinencia,"['Cuidado Adulto Mayor', 'Incontinencia', 'Adultos']",['Cotidian'],"[{'nombre_del_producto': 'Cotidian Pants Ultraprotect G', 'precio_normal': '$3.199', 'precio_oferta': '$2.599', 'descuento': '19%'}, {'nombre_del_producto': 'Cotidian Pants Ultraprotect M', 'precio_normal': '$2.799', 'precio_oferta': '$2.199', 'descuento': '22%'}]",,,
12,line-breakers-top-desktop,grid_ofertas,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709642989678-cltedalim97dqljr5rskpuwky.jpg,2024-03-06 19:17:17.056837,,,,,,,,
13,bts libreria mcl-1,ofertas_final_pag,1,https://apps.lider.cl/landing/banners/lineBreakers/bottom/desktop/sod/rompefilas_bts_libreria_mcl_desktop-1704911819580.png,2024-03-06 19:17:17.056837,Acumula $2.000 en Mi Club por compras sobre $40.000 en Mochilas y Utiles Escolares,Estudiantes y padres de familia,"['Mochilas', 'Utiles', 'Escolares']",,[],,,
14,offers-1-2,ofertas_final_pag,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709151361925-clt68lb450lintdrhpucka58t.jpg,2024-03-06 19:17:17.056837,Hasta 25% de descuento en productos para el cuidado bucal Listerine.,Personas que se preocupan por su salud bucal y quieren mantener una buena higiene oral.,"['Cuidado bucal', 'Cuidado personal', 'Salud']",['Listerine'],"[{'nombre_del_producto': 'LISTERINE CUIDADO TOTAL 500ML', 'precio_normal': '$8.990', 'precio_oferta': '$7.650', 'descuento': '15%'}, {'nombre_del_producto': 'LISTERINE CONTROL TARTARO 500ML', 'precio_normal': '$8.990', 'precio_oferta': '$7.650', 'descuento': '15%'}, {'nombre_del_producto': 'LISTERINE CERO ALCOHOL 500ML', 'precio_normal': '$8.990', 'precio_oferta': '$7.650', 'descuento': '15%'}]",,,
15,offers-1-3,ofertas_final_pag,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147108586-clt66257u0ilcverg54axj8fj.jpg,2024-03-06 19:17:17.056837,Vuelta a clases con precios bajos,Estudiantes y padres de familia,"['Vuelta a clases', 'Escolares', 'Cuadernos']","['Bic', 'Barbie', 'Disney']","[{'nombre_del_producto': 'Cuaderno universitario tapa dura espiral 100 hojas', 'precio_normal': '$1.290', 'precio_oferta': '$1.000', 'descuento': '22%'}]",,,
16,blockimage-4,ofertas_final_pag,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147231328-clt664rxc0iqus9rhz35arh1j.jpg,2024-03-06 19:17:17.056837,Productos a $2000,Familias,"['Aceite', 'Pastas', 'Alimentos']","['Mirasol', 'Corbatitas']","[{'nombre_del_producto': 'Aceite Mirasol', 'precio_normal': None, 'precio_oferta': 2000, 'descuento': None}, {'nombre_del_producto': 'Pastas Corbatitas', 'precio_normal': None, 'precio_oferta': 2000, 'descuento': None}]",,,
17,blockimage-5,ofertas_final_pag,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147354304-clt667etc0jnuyjr5tfcs74zi.jpg,2024-03-06 19:17:17.056837,Productos a $1.000,Familias,"['bebidas', 'snacks', 'alimentos']","['Valle', 'Evercrisp', 'Marco Polo']","[{'nombre_del_producto': 'Jugo Valle naranja 1.5L', 'precio_normal': '$1.500', 'precio_oferta': '$1.000', 'descuento': '33%'}, {'nombre_del_producto': 'Papas fritas Marco Polo Rusticas sabor a queso 150g', 'precio_normal': '$1.200', 'precio_oferta': '$1.000', 'descuento': '17%'}, {'nombre_del_producto': 'Snacks Evercrisp ramitas sabor queso cheddar 130g', 'precio_normal': '$1.300', 'precio_oferta': '$1.000', 'descuento': '23%'}]",,,
18,blockimage-6,ofertas_final_pag,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147516833-clt66aw810jwhwirgrfd0mcw2.jpg,2024-03-06 19:17:17.056837,"{'tipo': 'Descuento', 'precio_normal': 6.69, 'precio_oferta': 6.29, 'descuento': '400 CLP'}",Amantes del queso,"['Quesos', 'Lacteos', 'Rio Bueno']",['Rio Bueno'],"[{'nombre_del_producto': 'Queso Rio Bueno', 'precio_normal': 6.69, 'precio_oferta': 6.29, 'descuento': '6%'}]",,,
19,blockimage-7,ofertas_final_pag,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709147662253-clt66e0fh0levt2rhpa4stzww.jpg,2024-03-06 19:17:17.056837,2x1 en productos seleccionados,dueños de mascotas,"['comida', 'mascotas', 'perros']","['Master Dog', 'Whiskas']","[{'nombre_del_producto': 'Master Dog Pollo', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Whiskas Adultos en Salsa', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Master Cat Atun', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}]",,,
