,name_img,tipo_oferta,position,url_img,datetime_checked
14,hasta 40% vestuario mujer hombre infantil nueva coleccion,grid_ofertas,7,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/d3181cbf-bc24-4835-9a95-d5e101aae57d.webp,2024-03-05 19:20:15.866029
15,notebook asus tuf gaming f15 intel core i5 8gb ram 516gb ssd,grid_ofertas,8,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/eb42d607-b6a7-4622-9474-10ac779090f4.jpg,2024-03-05 19:20:15.866029
16,smartphone huawei nova 11i 8+128gb negro,grid_ofertas,9,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/046d4f8f-26c7-438c-b014-77d060b447c4.webp,2024-03-05 19:20:15.866029
17,"hasta 50% de descuento en vestuario juvenil hombre y mujer en rip curl, buffalo, gnomo, oneill, volcom",grid_ofertas,10,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/32503274-62ed-4e1c-afad-28c759ff84be.webp,2024-03-05 19:20:15.866029
18,prepara tu look festivalero con moda circular nostalgic,grid_ofertas,11,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/2f068e06-499a-4e91-9aa8-77f4d3a15443.webp,2024-03-05 19:20:15.866029
19,nueva coleccion american eagle hombre y mujer,lo_ultimo,1,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/c74b92f7-11a1-4907-97a4-6ba147c66473.webp,2024-03-05 19:20:15.866029
20,jumbo prime,lo_ultimo,2,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/b94d4f4a-835e-4e64-906a-35c091d7dd06.webp,2024-03-05 19:20:15.866029
21,farm rio,lo_ultimo,3,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/510e3321-41e0-4a46-8563-c7a68e36a43a.webp,2024-03-05 19:20:15.866029
22,"sisterland, golden vanilla eau de parfum",lo_ultimo,4,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/fb795147-36a1-4690-8ef7-481bee8280ad.webp,2024-03-05 19:20:15.866029
23,botellas y termos lhotse hasta 30% de dcto ,lo_ultimo,5,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/cb83c48f-bfc1-4509-b24b-a1a0be65eb3d.webp,2024-03-05 19:20:15.866029
24,oster te acompana en marzo,lo_ultimo,6,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/142cf416-98c8-4f43-83e3-13d80bf9bf91.webp,2024-03-05 19:20:15.866029
25,amo mi cama,lo_ultimo,7,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/b46a7a9c-746e-4743-bafd-e6a7efd2974c.webp,2024-03-05 19:20:15.866029
26,alaniz,lo_ultimo,8,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/265113c4-8cef-4337-800c-36765322a02f.webp,2024-03-05 19:20:15.866029
