,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
10,prime - toda la vina miguel torres 40% descto ,double-image-content,2,https://assets.jumbo.cl/uploads/2024/02/desktop-Home-grillachica-VinaDelMes-Marzo-MiguelTorres-s09-01032024.jpg,2024-03-08 14:09:22.065294,40% de descuento en todos los vinos Miguel Torres,Amantes del vino,"['Vinos', 'Bebidas', 'Gourmet']",['Miguel Torres'],"[{'nombre_del_producto': 'Miguel Torres Las Mulas Carmenere', 'precio_normal': '$10.000', 'precio_oferta': '$6.000', 'descuento': '40%'}, {'nombre_del_producto': 'Miguel Torres Santa Digna Cabernet Sauvignon', 'precio_normal': '$12.000', 'precio_oferta': '$7.200', 'descuento': '40%'}, {'nombre_del_producto': 'Miguel Torres Estelado Brut', 'precio_normal': '$15.000', 'precio_oferta': '$9.000', 'descuento': '40%'}]",,,
11,prime - todas las cervezas kross 40% descto ,double-image-content,3,https://assets.jumbo.cl/uploads/2024/02/desktop-Home-grillachica-CervezaDelMes-Marzo-Kross-s09-01032024.jpg,2024-03-08 14:09:22.065294,,,,,,,,
12,especial exclusivo - especial ffvv,short-banner,4,https://assets.jumbo.cl/uploads/2024/03/desktop-home-huincha-especial-ffvv-uva-verde-pote-500g-s10-07032024.jpg,2024-03-08 14:09:22.065294,Uva verde pote 500gr a $1390,Familias,"['Frutas', 'Verduras', 'Alimentos']",,[],,,
13,stradivarius,short-banner,5,https://assets.jumbo.cl/uploads/2024/03/desktop-home-huincha-stradivarius-s10-05032024.jpg,2024-03-08 14:09:22.065294,Hasta 50% de descuento en Stradivarius,Mujeres jóvenes interesadas en la moda,"['Ropa', 'Mujer', 'Moda']",['Stradivarius'],[],,,
14,especial - todos los productos kirkland llego a jumbo  ,ofertas_final_pag,1,https://assets.jumbo.cl/uploads/2024/02/desktop-home-huincha-kirkland-26022024.jpg,2024-03-08 14:09:22.065294,Nuevos productos Kirkland en Jumbo,Personas que buscan productos de calidad a buen precio,"['Jumbo', 'Kirkland', 'Desayuno']",['Kirkland'],[],,,
15,landing proveedor - p&g ,ofertas_final_pag,2,https://assets.jumbo.cl/uploads/2024/02/2-desktop-landing-PYG-huincha-marcas-participantes-S10-05032024.jpg,2024-03-08 14:09:22.065294,lleva 3 productos de cuidado personal y paga 2,Cuidado de la familia,"['Cuidado del bebe', 'Cuidado femenino', 'Cuidado bucal']","['Huggies', 'Pampers', 'Head & Shoulders', 'Pantene', 'Oral B', 'Gilette', 'Venus', 'Always']",[],,,
16,https://assets.jumbo.cl/uploads/2024/01/desktop-cuadros,ofertas_final_pag,3,https://assets.jumbo.cl/uploads/2024/01/desktop-cuadros-destacados-home-recetas-12012024.jpg,2024-03-08 14:09:22.065294,Jumbo: recetas para cocinar en casa,Personas interesadas en recetas de cocina.,"['recetas', 'jumbo', 'cocina']",,[],,,
17,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,4,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-importados-14112023.jpg,2024-03-08 14:09:22.065294,Lleva 3 productos de la línea de pastas y salsas importadas con un 20% de descuento,Personas que buscan una comida rápida y fácil de preparar.,"['Pastas', 'Salsas', 'Quesos']",['Jumbo'],[],,,
18,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,5,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-cuisineandco-14112023.jpg,2024-03-08 14:09:22.065294,Lleva 2 pizzas medianas de pepperoni por $15.990,Personas que buscan una comida rápida y fácil de preparar.,"['Pizzas', 'Comida', 'Italiana']",,[],,,
19,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,6,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-bio-natura-14112023.jpg,2024-03-08 14:09:22.065294,Panqueques de banana y frutos rojos,Personas interesadas en desayunos saludables,"['Desayuno', 'Alimentacion saludable', 'Cocina']",,[],,,
20,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros,ofertas_final_pag,7,https://assets.jumbo.cl/uploads/2023/11/desktop-cuadros-destacados-home-nuestos-productores-14112023.jpg,2024-03-08 14:09:22.065294,Nuestros productores,Amantes de los quesos y productos regionales,"['Quesos', 'Lacteos', 'Productos regionales']",,[],,,
21, ,ofertas_final_pag,8,https://assets.jumbo.cl/uploads/2024/03/2-desktop-home-carrusel-01-SW-minuto-verde-generico-s10-05032024.jpg,2024-03-08 14:09:22.065294,Hasta 20% de descuento en productos Minuto Verde,Familias que buscan opciones de alimentación saludable y rápida.,"['congelados', 'hamburguesas', 'verduras']",['Minuto Verde'],"[{'nombre_del_producto': 'Hamburguesas de soja', 'precio_normal': '$500', 'precio_oferta': '$400', 'descuento': '20%'}, {'nombre_del_producto': 'Choclo en grano', 'precio_normal': '$300', 'precio_oferta': '$240', 'descuento': '20%'}, {'nombre_del_producto': 'Edamame', 'precio_normal': '$400', 'precio_oferta': '$320', 'descuento': '20%'}, {'nombre_del_producto': 'Papas gajo', 'precio_normal': '$250', 'precio_oferta': '$200', 'descuento': '20%'}]",,,
22, ,ofertas_final_pag,9,https://assets.jumbo.cl/uploads/2024/03/2-desktop-home-carrusel-02-SW-minuto-verde-premium-s10-05032024.jpg,2024-03-08 14:09:22.065294,Hasta 20% de descuento en productos congelados de la línea premium de Minuto Verde.,Personas que buscan alimentos saludables y de calidad.,"['congelados', 'verduras', 'saludables']",['Minuto Verde'],"[{'nombre_del_producto': 'Choclo dulce congelado Minuto Verde', 'precio_normal': '$1.500', 'precio_oferta': '$1.200', 'descuento': '20%'}, {'nombre_del_producto': 'Edamame congelado Minuto Verde', 'precio_normal': '$2.000', 'precio_oferta': '$1.600', 'descuento': '20%'}, {'nombre_del_producto': 'Poroto verde congelado Minuto Verde', 'precio_normal': '$1.200', 'precio_oferta': '$960', 'descuento': '20%'}]",,,
23, ,ofertas_final_pag,10,https://assets.jumbo.cl/uploads/2024/03/2desktop-home-carrusel-03-SW-minuto-verde-papas-s10-05032024.jpg,2024-03-08 14:09:22.065294,Hasta 20% de descuento en papas Minuto Verde,Familias que buscan ahorrar en la compra de alimentos.,"['Papas', 'Congelados', 'Minuto Verde']",['Minuto Verde'],"[{'nombre_del_producto': 'Papas Fritas Minuto Verde', 'precio_normal': '$1.000', 'precio_oferta': '$800', 'descuento': '20%'}, {'nombre_del_producto': 'Papas Nuggets Minuto Verde', 'precio_normal': '$1.200', 'precio_oferta': '$960', 'descuento': '20%'}, {'nombre_del_producto': 'Papas Bastón Minuto Verde', 'precio_normal': '$1.500', 'precio_oferta': '$1.200', 'descuento': '20%'}, {'nombre_del_producto': 'Papas Rusticas Minuto Verde', 'precio_normal': '$1.800', 'precio_oferta': '$1.440', 'descuento': '20%'}]",,,
24, ,ofertas_final_pag,11,https://assets.jumbo.cl/uploads/2024/03/3-desktop-home-carrusel-04-SW-minuto-verde-hamburguesas-s10-05032024.jpeg,2024-03-08 14:09:22.065294,,,,,,,,
25, ,ofertas_final_pag,12,https://assets.jumbo.cl/uploads/2024/02/desktop-home-carrusel-05-SW-minuto-verde-smooties-s10-05032024.jpg,2024-03-08 14:09:22.065294,15% de descuento en smoothies Minuto Verde.,Personas que buscan opciones de alimentación saludable.,"['bebidas', 'saludables', 'frutas']",['Minuto Verde'],[],,,
26,proveedor huincha home - andina ,ofertas_final_pag,13,https://assets.jumbo.cl/uploads/2024/02/2-desktop-home-GrillaChica-proveedores-andina-del-valle-S08-20022024.jpg,2024-03-08 14:09:22.065294,Lleva 6 jugos del valle por $1.690,Niños y adolescentes,"['bebidas', 'alimentos', 'snacks']",['del valle'],"[{'nombre_del_producto': 'Jugo del valle sabor piña', 'precio_normal': '$2.190', 'precio_oferta': '$1.690', 'descuento': '23%'}, {'nombre_del_producto': 'Jugo del valle sabor naranja', 'precio_normal': '$2.190', 'precio_oferta': '$1.690', 'descuento': '23%'}, {'nombre_del_producto': 'Jugo del valle sabor multifruta', 'precio_normal': '$2.190', 'precio_oferta': '$1.690', 'descuento': '23%'}, {'nombre_del_producto': 'Jugo del valle sabor durazno', 'precio_normal': '$2.190', 'precio_oferta': '$1.690', 'descuento': '23%'}, {'nombre_del_producto': 'Jugo del valle sabor manzana', 'precio_normal': '$2.190', 'precio_oferta': '$1.690', 'descuento': '23%'}]",,,
27,proveedor huincha home - j&j ,ofertas_final_pag,14,https://assets.jumbo.cl/uploads/2024/03/desktop-home-GrillaChica-proveedores-JyJ-neutrogena-S10-050322024.jpg,2024-03-08 14:09:22.065294,Hasta 30% de descuento en productos seleccionados de Neutrogena y Lubriderm,Mujeres de 25 a 45 años interesadas en el cuidado de la piel,"['Cuidado de la piel', 'Belleza', 'Farmacia']","['Neutrogena', 'Lubriderm']","[{'nombre_del_producto': 'Neutrogena Hydro Boost Water Gel', 'precio_normal': '$15.99', 'precio_oferta': '$10.99', 'descuento': '30%'}, {'nombre_del_producto': 'Neutrogena Hydro Boost Water Gel', 'precio_normal': '$15.99', 'precio_oferta': '$10.99', 'descuento': '30%'}, {'nombre_del_producto': 'Lubriderm Advanced Therapy Lotion', 'precio_normal': '$19.99', 'precio_oferta': '$13.99', 'descuento': '30%'}, {'nombre_del_producto': 'Lubriderm Extra Dry Skin Cream', 'precio_normal': '$24.99', 'precio_oferta': '$16.99', 'descuento': '30%'}]",,,
28,proveedor huincha home - softys ,ofertas_final_pag,15,https://assets.jumbo.cl/uploads/2024/03/desktop-home-GrillaGrande-proveedores-softys-elite-S10-05032024.jpg,2024-03-08 14:09:22.065294,3x2 en papel higienico Elite,Familias,"['Papel higienico', 'Elite', 'Familia']",['Elite'],"[{'nombre_del_producto': 'Elite Ultra Suave 24 Unidades', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}, {'nombre_del_producto': 'Elite Soft & Strong 12 Unidades', 'precio_normal': None, 'precio_oferta': None, 'descuento': None}]",,,
29,dove hasta 30% dcto.,ofertas_final_pag,16,https://assets.jumbo.cl/uploads/2024/03/desktop-home-vitrina-proveedores-unilever-dove-S10-05032024.jpg,2024-03-08 14:09:22.065294,Hasta 30% de descuento en productos Dove,Mujeres,"['Cuidado del cabello', 'Cuidado de la piel', 'Desodorantes']",['Dove'],"[{'nombre_del_producto': 'Dove Jabón Original 90g', 'precio_normal': '$1.000', 'precio_oferta': '$700', 'descuento': '30%'}, {'nombre_del_producto': 'Dove Shampoo Nutrición Intensa 400ml', 'precio_normal': '$2.000', 'precio_oferta': '$1.400', 'descuento': '30%'}, {'nombre_del_producto': 'Dove Acondicionador Nutrición Intensa 400ml', 'precio_normal': '$2.000', 'precio_oferta': '$1.400', 'descuento': '30%'}, {'nombre_del_producto': 'Dove Desodorante Original Aerosol 150ml', 'precio_normal': '$1.500', 'precio_oferta': '$1.050', 'descuento': '30%'}]",,,
30,quix ultra desde $2069,ofertas_final_pag,17,https://assets.jumbo.cl/uploads/2024/03/2-desktop-home-vitrina-proveedores-unilever-quix-ultra-S10-05032024.jpg,2024-03-08 14:09:22.065294,Quix Ultra Concentrado rinde 3 veces más y ahora a un precio rebajado desde $2069,Personas interesadas en la limpieza del hogar,"['limpieza', 'hogar', 'cocina']",['Quix'],[],,,
31,marcas que valen la pena,ofertas_final_pag,18,https://assets.jumbo.cl/uploads/2024/03/desktop-home-vitrina-proveedores-pyg-marcas-valen-la-pena-S10-05032024.jpg,2024-03-08 14:09:22.065294,"Hasta 50% de descuento en productos de cuidado personal, belleza y cuidado del hogar",Mujeres,"['Cuidado personal', 'Belleza', 'Cuidado del hogar']","['Tampax', 'Head & Shoulders', 'Oral-B', 'Pampers', 'Venus', 'Pantene']","[{'nombre_del_producto': 'Tampax Pearl', 'precio_normal': '$10.000', 'precio_oferta': '$5.000', 'descuento': '50%'}, {'nombre_del_producto': 'Head & Shoulders', 'precio_normal': '$15.000', 'precio_oferta': '$10.000', 'descuento': '33%'}, {'nombre_del_producto': 'Oral-B', 'precio_normal': '$20.000', 'precio_oferta': '$15.000', 'descuento': '25%'}, {'nombre_del_producto': 'Pampers', 'precio_normal': '$25.000', 'precio_oferta': '$20.000', 'descuento': '20%'}, {'nombre_del_producto': 'Venus', 'precio_normal': '$30.000', 'precio_oferta': '$25.000', 'descuento': '16%'}, {'nombre_del_producto': 'Pantene', 'precio_normal': '$35.000', 'precio_oferta': '$30.000', 'descuento': '14%'}]",,,
