,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,duracion_promo,descuentos_promo,categorias_en_promo,marcas_en_promo,publico_objetivo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
10,zapatillas,grid_ofertas,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt1353014bf221c66c/65eb5ee8a54ef81d2b9309ad/MC1-dk-zapatillas-110324-IR.jpg,2024-03-12 11:25:49.618749,"40% de descuento en zapatillas para hombre, mujer y niños de las marcas Nike, Adidas y New Balance. ",,40%,"['zapatillas', 'hombre', 'mujer']","['nike', 'adidas', 'new balance']","['deportivo', 'casual', 'urbano', 'moderno', 'activo']",[],,,
11,perfumes 30% descuento,grid_ofertas,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt34f421f45e0c8c8e/65f05ab196251b79f271dc3b/MC2-dk%E2%80%94perfumes-130324-gmc.jpg,2024-03-12 11:25:49.618749,30% de descuento en productos seleccionados,,30%,"['perfumes', 'mujer', 'hombre']","['carolina herrera', 'hugo boss', 'lancome']","['femenino', 'masculino', 'independiente', 'moderno', 'urbano']",[],,,
12,vestuario deportivo,grid_ofertas,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blta91cda76556ce9ee/65ef6d3d17321518c0d29f70/MC3-dk-vestuariodeportivo-1103-pb.jpg,2024-03-12 11:25:49.618749,"40% de descuento en vestuario deportivo seleccionado de adidas, diaadora y nike.",,40%,"['vestuario', 'deportivo', 'adidas']","['adidas', 'diaadora', 'nike']","['deportista', 'activo', 'moderno', 'casual', 'urbano']",[],,,
13,especial desayuno,grid_ofertas,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltb4e61cab2d5ae9cd/65eb531ac26d9179555393bb/MC4-dk-desayunos-1103-pb.png,2024-03-12 11:25:49.618749,Cafetera Delonghi Dedica roja a $179.990,,,"['cocina', 'electrodomésticos', 'desayuno']",['delonghi'],"['amante', 'cafe', 'espresso', 'desayuno', 'moderno']","[{'nombre_del_producto': 'Cafetera Dedica roja', 'precio_normal': 299900, 'precio_oferta': 199900, 'descuento': '33%'}]",,,
14,linea blanca,grid_ofertas,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt0e3aba2029d80a82/65ee6ee40194ca14df27ab2e/MC5-dk-LineaBlanca-1103-mb.jpg,2024-03-12 11:25:49.618749,Midea Lavadora Superior 21 Kg. a $299.990,,,"['linea blanca', 'electrodomesticos', 'lavadoras']",['Midea'],"['主婦', 'adultos', 'independientes', 'solteros', 'familias']","[{'nombre_del_producto': 'Midea Lavadora Superior 21 Kg.', 'precio_normal': 429.99, 'precio_oferta': 299.99, 'descuento': '30%'}]",10.0,,
15,lg week,grid_ofertas,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt98127fa3a0a8b05b/65eb6954a99186c39ae7bc13/MC6-dk-lg-1103-pb.png,2024-03-12 11:25:49.618749,semana lg,,,"['linea blanca', 'tv', 'electrodomesticos']",['lg'],"['tecnofilo', 'hogar', 'familia', 'moderno', 'urbano']","[{'nombre_del_producto': 'lg refrigerador 315 lt top freezer no frost', 'precio_normal': 489.99, 'precio_oferta': 359.99, 'descuento': '26%'}, {'nombre_del_producto': 'lg led 55 pulgadas 4k uhd smart tv', 'precio_normal': 511.99, 'precio_oferta': 329.99, 'descuento': '34%'}]",,,envio gratis en todo lg
16,comedores,grid_ofertas,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt004ca5a9b9dba087/65f0555b611972a70a644482/MC7-dk-cat-COMEDOR-120324-ay.jpg,2024-03-12 11:25:49.618749,6 sillas con extension a $699.990,,,"['muebles', 'comedor', 'decoracion']",,"['adulto', 'independiente', 'moderno', 'urbano', 'trabajador']",[],,,
17,ropa de cama,grid_ofertas,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt399722071fefe96d/65eb52ff28294d841bf2210d/MC8-dk-Ropadecama-070324-PG.png,2024-03-12 11:25:49.618749,30% de descuento en productos seleccionados de ropa de cama,,30%,"['ropa', 'cama', 'blancos']","['roberta allen', 'textil viña', 'nina herrera home']","['femenino', 'romantica', 'delicada', 'moderna', 'minimalista']",[],,,
18,tous,grid_ofertas,9,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt217ae780f2a8dd29/65ef17f2a1e8157f8cd5970c/MC9-dk-tous-110324-IR.jpg,2024-03-12 11:25:49.618749,20% de descuento en Tous. Del 11 al 13 de marzo.,"[{'fecha_inicio_promo': '11/03/2023', 'fecha_termino_promo': '13/03/2023', 'dias_duracion': 3}]",20%,"['joyas', 'mujer', 'tous']",['tous'],"['femenino', 'moderno', 'urbano', 'independiente', 'sofisticado']",[],,,
19,mascotas,grid_ofertas,10,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltea8b2350c663c887/65eb52e73eefea78f5a5ca1e/MC10-dk-mascotas-1103-pb.png,2024-03-12 11:25:49.618749,50% de descuento en productos seleccionados,,50%,"['mascotas', 'gatos', 'accesorios']","['kulcan', 'petizoos']","['amante', 'mascotas', 'gatos', 'hogar', 'comodidad']",[],,,envio en 24 horas
20,fitness,grid_ofertas,11,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltad1e0e774201e177/65ef5decfc8631700ad6eff5/Fitness-MC11-dk-110324-NM_%E2%80%93_1.jpg,2024-03-12 11:25:49.618749,50% de descuento en productos seleccionados de fitness,,50%,"['fitness', 'deporte', 'salud']","['ten series', 'atlhetis', 'yep']","['deportista', 'saludable', 'activo', 'moderno', 'urbano']","[{'nombre_del_producto': 'Cinta de correr Ten Series Pro', 'precio_normal': '$1.000.000', 'precio_oferta': '$500.000', 'descuento': '50%'}, {'nombre_del_producto': 'Bicicleta estática Ten Series Pro', 'precio_normal': '$700.000', 'precio_oferta': '$350.000', 'descuento': '50%'}]",,,
21,bicicleta,grid_ofertas,12,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blta0bae7d3d3227173/65f054a9f4a4cfe99014cd19/MC12-dk-bici-1203-pb.png,2024-03-12 11:25:49.618749,bicicleta jeep aro 29 lhotse a $299.990,,,"['bicicletas', 'deportes', 'aire libre']",['jeep'],"['deportista', 'aventurero', 'amante de la naturaleza', 'activo', 'saludable']","[{'nombre_del_producto': 'bicicleta jeep aro 29 lhotse', 'precio_normal': 529.99, 'precio_oferta': 299.99, 'descuento': '43%'}]",10.0,,
22,desktop-category-image,lo_ultimo,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltcd7077fe90ca03f6/65eb6a5f4fcc270568935bad/01-LoUltimo-dk-Tops-110304-PS.jpg,2024-03-12 11:25:49.618749,"Lo último en tops, primero en Falabella.",,,"['moda', 'mujer', 'tops']",,"['femenino', 'moderno', 'casual', 'urbano', 'joven']",[],,,
23,desktop-category-image,lo_ultimo,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc6c9a2a8e3a2e23d/65eb6a5ff6198cbc8d06d173/02-LoUltimo-dk-Sastreros-110324-PS.jpg,2024-03-12 11:25:49.618749,pantalones sybilla a $12.990,,,"['pantalones', 'mujer', 'moda']",['sybilla'],"['femenino', 'joven', 'moderno', 'urbano', 'casual']",[],,,
24,desktop-category-image,lo_ultimo,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltd91129b40bcbe694/65eb6fab8221d9210056a7c7/03-LoUltimo-dk-cat-110324-PS.jpg,2024-03-12 11:25:49.618749,"La fragancia femenina de Antonio Banderas, The Icon Splendid Eau de Parfum, es una fragancia floral frutal que se lanzó en 2022. Las notas de salida son manzana roja, grosella negra y bergamota; las notas de corazón son jazmín, rosa y peonía; las notas de fondo son vainilla, sándalo y madera de cachemira.",,,"['perfumes', 'cosmeticos', 'belleza']",['Antonio Banderas'],"['femenino', 'moderno', 'urbano', 'independiente', 'audaz']",[],,,
