,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,duracion_promo,descuentos_promo,categorias_en_promo,marcas_en_promo,publico_objetivo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
10,aspirado,grid_ofertas,4,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt4afb35e40404f766/66104079fffe407ebb1e2835/aspirado-MC2-1-dk-080424-mb.jpg,01:12.3,Aspiradora robot inteligente silenciosa marca OSOJI con conexión wifi y modelo D990 a $109.990.,,,"['tecnologia', 'hogar', 'limpieza']",['osoi'],"['moderno', 'tecnológico', 'minimalista', 'urbano', 'independiente']","[{'nombre_del_producto': 'OSOI Aspiradora Robot Inteligente Silenciosa', 'precio_normal': 259990, 'precio_oferta': 109990, 'descuento': '57%'}]",,,
11,reacondicionado,grid_ofertas,5,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt9c81a8aed7cbb03f/66102cf1ae80e22d70823232/reacondicionado-MC2-2-dk-080424-pb.jpg,01:12.3,,,,,,,,,,
12,video samsung,grid_ofertas,6,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt57f8204a84a4bf85/66146a6b6741eb35a7a1d685/Video-MC2-3-dk-080424-mb.jpg,01:12.3,lleva tu home theater samsung a otro nivel con esta increible oferta,,,"['tv', 'audio', 'electronica']",['samsung'],"['amante', 'tecnologia', 'moderno', 'dinamico', 'entretenido']","[{'nombre_del_producto': 'samsung oled 4k 55"" s90c 2023 con premium sound', 'precio_normal': 1299900, 'precio_oferta': 899900, 'descuento': '31%'}]",,,
13,ropa de cama,grid_ofertas,7,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt52adba08cb11bef2/66102cf1470f71f76a614d62/ropacama-MC3-1-dk-080424-pb.jpg,01:12.3,30% de descuento en productos seleccionados de ropa de cama sherpa.,,30%,"['ropa', 'cama', 'sherpa']",['cannon'],"['femenino', 'romantica', 'detallista', 'ordenada', 'hogareña']",[],,,
14,menaje,grid_ofertas,8,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt0b1b42405b470e87/66103fb2470f71a2f1614e21/Menaje-MC3-2-dk-080424-jr.jpg,01:12.3,"cocina con lo mejor, ahorra con fantuzzi",,,"['cocina', 'hogar', 'electrodomesticos']",['fantuzzi'],"['ahorrador', 'practico', 'moderno', 'minimalista', 'urbano']","[{'nombre_del_producto': 'olla a presion fantuzzi 8 litros', 'precio_normal': 34990, 'precio_oferta': 24990, 'descuento': '28%'}]",,,
15,muebles,grid_ofertas,9,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt39a6bb441abebb22/66102cf1da0c3a76c7f765e7/mueble-MC3-3-dk-080424-pb.jpg,01:12.3,seccional queen a $219.990,,,"['muebles', 'sillones', 'decoracion']",,"['moderno', 'minimalista', 'urbano', 'joven', 'independiente']",[],,,
16,bicicleta,grid_ofertas,11,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt9f2d2fdda4d695fa/66102cf1ca5a97832d554a88/Bicicleta-MC4-2-dk-080424-pb.jpg,01:12.3,bicicleta jeep baltoro aro 29 a $219.990,,,"['bicicletas', 'deportes', 'aire libre']","['jeep', 'oxford', 'bianchi']","['deportista', 'aventurero', 'amante de la naturaleza', 'activo', 'saludable']","[{'nombre_del_producto': 'bicicleta jeep baltoro aro 29', 'precio_normal': 249990, 'precio_oferta': 219990, 'descuento': '12%'}]",,,
17,mascotas,grid_ofertas,12,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltc457aa8fc2800dc7/66102cf2fffe407a121e277e/mascota-MC4-3-dk-080424-pb.jpg,01:12.3,60% de descuento en productos seleccionados para mascotas,,60%,"['mascotas', 'perros', 'gatos']",,"['amante', 'mascotas', 'perros', 'gatos', 'hogar']",[],,,
18,desktop-category-image,lo_ultimo,1,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/bltbe49ea7c0b178743/661028d5ae80e2466c823206/belleza-LoUltimo-dk-080424-pr.jpg,01:12.3,lanzamiento del nuevo perfume 212 vip rose elixir de carolina herrera,,,"['perfumes', 'cosmeticos', 'mujer']",['carolina herrera'],"['femenino', 'urbano', 'moderno', 'independiente', 'audaz']",[],,,
19,desktop-category-image,lo_ultimo,2,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt0730a2d1882277e9/6610260bcbc2fbec30816268/chaquetasInfantil-lu02-dk-080424-ne.jpg,01:12.3,chaquetas sin manga desde $9.990,,,"['ropa', 'ninos', 'chaquetas']",,"['infantil', 'moderno', 'divertido', 'casual', 'activo']",[],,,
20,desktop-category-image,lo_ultimo,3,https://images.falabella.com/v3/assets/blt7c5c2f2f888a7cc3/blt82091d818bc61da8/661025c96741ebddefa1c8aa/Pijamas-dk-03-LoUltimo-0504-ne.jpg,01:12.3,Mix & Match Pijamas,,,"['pijamas', 'ropa', 'mujer']","['Etam', 'Sybilla', 'Blu']","['femenino', 'joven', 'urbano', 'moderno', 'casual']",[],,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,2Eb2d8QA2z1YQG7JGPxfwr7Si3HxmFTGxihDkCTyzbSo,,,,,,,,,,
