,nombre_promocion,tipo_oferta,posicion,url_img,datetime_checked,descripcion_promo,duracion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
10,grid3-desktop,grid_ofertas,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709762624867-cltgcismbblpdkir5c1bm6vg6.jpg,38:07.3,productos a $1.000,,"['joven', 'dulcero', 'amante del chocolate', 'festivo', 'dinámico']","['chocolates', 'galletas', 'dulces']","['milka', 'oreo', 'club social']","[{'nombre_del_producto': 'milka oreo', 'precio_normal': '1.590', 'precio_oferta': '1.000', 'descuento': '37%'}, {'nombre_del_producto': 'club social', 'precio_normal': '1.290', 'precio_oferta': '1.000', 'descuento': '22%'}]",,,
11,grid4-desktop,grid_ofertas,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709729014977-cltfsif290nadlcrgrdonl6vd.jpg,38:07.3,Productos a $1.000,,"['ahorrador', 'comprador', 'oportunista', 'consumidor', 'familia']","['abarrotes', 'despensa', 'alimentos']",['iansa'],"[{'nombre_del_producto': 'Endulzante Stevia Iansa', 'precio_normal': '$1.290', 'precio_oferta': '$1.000', 'descuento': '22%'}, {'nombre_del_producto': 'Azucar Rubia Iansa', 'precio_normal': '$790', 'precio_oferta': '$700', 'descuento': '12%'}, {'nombre_del_producto': 'Porotos Iansa', 'precio_normal': '$450', 'precio_oferta': '$390', 'descuento': '13%'}]",,,
12,line-breakers-top-desktop,grid_ofertas,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709642989678-cltedalim97dqljr5rskpuwky.jpg,38:07.3,vuelta a clases con precios bajos,,"['escolar', 'estudiante', 'familia', 'ahorrador', 'oportunista']","['vuelta', 'clases', 'ahorro']",,"[{'nombre_del_producto': 'cuaderno tapa dura espiral 100 hojas', 'precio_normal': 1000, 'precio_oferta': 890, 'descuento': '11%'}, {'nombre_del_producto': 'set de 4 cuadernos forrados', 'precio_normal': 5890, 'precio_oferta': 4890, 'descuento': '17%'}, {'nombre_del_producto': 'set de 2 blocks de hojas oficio', 'precio_normal': 1290, 'precio_oferta': 1290, 'descuento': '0%'}]",,,
13,bts libreria mcl-1,ofertas_final_pag,1,https://apps.lider.cl/landing/banners/lineBreakers/bottom/desktop/sod/rompefilas_bts_libreria_mcl_desktop-1704911819580.png,38:07.3,Acumula $2.000 en Mi Club por compras sobre $40.000 en Mochilas y Utiles Escolares. Exclusivo Marketplace,,"['Estudiantes', 'Padres', 'Apoderados', 'Escolares', 'Colegiales']","['Mochilas', 'Utiles', 'Escolares']",,[],,,
14,offers-1-2,ofertas_final_pag,2,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709763303208-cltgcxc14c0cz3lrhqs5zgfnr.jpg,38:07.3,lleva 5 unidades de livean por $2000,,"['infantil', 'saludable', 'natural']","['alimentos', 'bebidas', 'snacks']",['livean'],"[{'nombre_del_producto': 'livean porfruta manzana', 'precio_normal': '$520', 'precio_oferta': '$2000', 'descuento': '62%'}]",,,
15,offers-1-3,ofertas_final_pag,3,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709760776979-cltgbf6s32soiwkrh03sywica.jpg,38:07.3,vuelta a clases con precios bajos,,"['escolar', 'estudiante', 'joven', 'ahorrador', 'familia']","['vuelta', 'clases', 'utiles']",,[],,,
16,blockimage-4,ofertas_final_pag,4,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761140824-cltgbmziw5rmtfqr5hjotlpe6.jpg,38:07.3,limpieza de hogar,,"['limpio', 'ordenado', 'organizado', 'detallista', 'eficiente']","['limpieza', 'hogar', 'limpieza']",,[],,,
17,blockimage-5,ofertas_final_pag,5,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761255488-cltgbpg00bl3tkir5efuijviu.jpg,38:07.3,"la boti, el mejor lugar para comprar bebidas",,"['festivo', 'divertido', 'amigable', 'relajado', 'social']","['bebidas', 'licores', 'cervezas']","['la boti', 'lider']",[],,,
18,blockimage-6,ofertas_final_pag,6,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761393941-cltgbsetxbfco3zrh2wmbnr2b.jpg,38:07.3,leche natural alquería 2x1890,,"['amante', 'saludable', 'natural', 'ahorrador', 'familia']","['lacteos', 'alimentos', 'desayuno']",['alquería'],"[{'nombre_del_producto': 'leche natural alquería 1l', 'precio_normal': 980, 'precio_oferta': 980, 'descuento': '2x1890'}]",,,
19,blockimage-7,ofertas_final_pag,7,https://fcc.flixcart.com/www/assets/mon/walmartchile/1709761515521-cltgbv0n5b2joufr52tim6pkb.jpg,38:07.3,hay carne a precios bajos siempre,,"['carnivoros', 'parrilleros', 'asadores', 'amantesdelacarne', 'gourmet']","['carnes', 'asado', 'parrilla']",,[],,,
