,name_img,tipo_oferta,position,url_img,datetime_checked,descripcion_promo,duracion_promo,publico_objetivo,categorias_en_promo,marcas_en_promo,productos_en_oferta,cuotas_sin_interes,cupon_app,promociones_envio
10,avance de temporada en calzado hombre mujer y ninos,grid_ofertas,3,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/a8dfbb5c-310b-428d-961e-e267bfae8c95.webp,2024-03-05 19:20:15.866029,"30% de descuento en calzado de temporada para hombre, mujer y niños. 20% de descuento en todo medio de pago.",,"['moderno', 'urbano', 'casual', 'femenino', 'masculino']","['calzado', 'hombre', 'mujer']","['galeb', 'alanzis', 'nine west']",[],,,
11,divan black 1.5 plazas flex,grid_ofertas,4,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/efedd775-4fab-46f5-a8ee-f687791df999.webp,2024-03-05 19:20:15.866029,diván black 1.5 plazas a $319.990,,"['adulto', 'joven', 'independiente', 'soltero', 'pareja']","['dormitorio', 'colchones', 'camas']",['flex'],"[{'nombre_del_producto': 'diván black 1.5 plazas', 'precio_normal': 739990, 'precio_oferta': 339990, 'descuento': '57%'}]",,,
12,hasta 60% de descuento en ropa de cama,grid_ofertas,5,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/a0bea814-13ed-403c-b1d8-8ee1417386e2.webp,2024-03-05 19:20:15.866029,Hasta 60% de descuento en ropa de cama,,"['femenino', 'moderno', 'minimalista', 'natural', 'romántico']","['ropa', 'cama', 'blancos']",,[],,,
13,hasta 50% electrodomesticos,grid_ofertas,6,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/e9a798ce-8f7f-43ee-9360-7d31cf2711a2.webp,2024-03-05 19:20:15.866029,hasta 50% dcto en electrohogar,,"['moderno', 'urbano', 'dinámico', 'independiente', 'tecnológico']","['electrohogar', 'cocina', 'desayuno']","['oster', 'thorben', 'ursus trotter', 'daewoo']","[{'nombre_del_producto': 'tostadora ursus trotter', 'precio_normal': '$ 49.990', 'precio_oferta': '$ 24.990', 'descuento': '50%'}, {'nombre_del_producto': 'hervidor electrico thorben', 'precio_normal': '$ 29.990', 'precio_oferta': '$ 14.990', 'descuento': '50%'}, {'nombre_del_producto': 'microondas oster', 'precio_normal': '$ 199.990', 'precio_oferta': '$ 99.990', 'descuento': '50%'}]",,,
14,hasta 40% vestuario mujer hombre infantil nueva coleccion,grid_ofertas,7,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/d3181cbf-bc24-4835-9a95-d5e101aae57d.webp,2024-03-05 19:20:15.866029,"hasta 40% dcto en vestuario hombre, mujer y niños",,"['moderno', 'urbano', 'casual', 'joven', 'dinámico']","['vestuario', 'hombre', 'mujer']",,[],,,
15,notebook asus tuf gaming f15 intel core i5 8gb ram 516gb ssd,grid_ofertas,8,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/eb42d607-b6a7-4622-9474-10ac779090f4.jpg,2024-03-05 19:20:15.866029,notebook asus tuf gaming f15 intel core i5 a $589.990,,"['gamer', 'tecnofilo', 'joven', 'activo', 'moderno']","['notebooks', 'asus', 'tecnologia']",['asus'],"[{'nombre_del_producto': 'Notebook Asus TUF Gaming F15 Intel Core i5', 'precio_normal': '$889.990', 'precio_oferta': '$589.990', 'descuento': '34%'}]",,,
16,smartphone huawei nova 11i 8+128gb negro,grid_ofertas,9,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/046d4f8f-26c7-438c-b014-77d060b447c4.webp,2024-03-05 19:20:15.866029,,,,,,,,,
17,"hasta 50% de descuento en vestuario juvenil hombre y mujer en rip curl, buffalo, gnomo, oneill, volcom",grid_ofertas,10,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/32503274-62ed-4e1c-afad-28c759ff84be.webp,2024-03-05 19:20:15.866029,hasta 50% dcto en vestuario juvenil hombre y mujer,,"['juvenil', 'moderno', 'urbano', 'activo', 'deportivo']","['vestuario', 'juvenil', 'hombre']","['volcom', ""o'neill"", 'rip curl', 'gnomo', 'buffalo']",[],,,
18,prepara tu look festivalero con moda circular nostalgic,grid_ofertas,11,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/2f068e06-499a-4e91-9aa8-77f4d3a15443.webp,2024-03-05 19:20:15.866029,Moda festivalera nostálgica. Prepara tu look con prendas de tus bandas favoritas.,,"['joven', 'moderno', 'audaz', 'femenino', 'masculino']","['moda', 'festival', 'nostalgic']","['levis', 'kiss']",[],,,
19,nueva coleccion american eagle hombre y mujer,lo_ultimo,1,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/c74b92f7-11a1-4907-97a4-6ba147c66473.webp,2024-03-05 19:20:15.866029,Nueva colección de ropa para hombre y mujer de American Eagle.,,"['joven', 'moderno', 'casual', 'urbano', 'activo']","['ropa', 'hombre', 'mujer']",['American Eagle'],[],,,
20,jumbo prime,lo_ultimo,2,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/b94d4f4a-835e-4e64-906a-35c091d7dd06.webp,2024-03-05 19:20:15.866029,Aprovecha tus beneficios y descuentos en Paris.cl y Paris App. Exclusivo para clientes Jumbo Prime,,"['deportista', 'activo', 'saludable', 'moderno', 'urbano']","['vestuario', 'deportivo', 'calzado']",,[],,,"{'costo_envio': 0, 'monto_minimo': 15000}"
21,farm rio,lo_ultimo,3,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/510e3321-41e0-4a46-8563-c7a68e36a43a.webp,2024-03-05 19:20:15.866029,Nueva colección de verano,,"['femenino', 'moderno', 'casual', 'fresco', 'divertido']","['mujer', 'verano', 'boho']",['farm'],[],,,
22,"sisterland, golden vanilla eau de parfum",lo_ultimo,4,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/fb795147-36a1-4690-8ef7-481bee8280ad.webp,2024-03-05 19:20:15.866029,"descubre golden vainilla, la nueva fragancia de sisterland",,"['femenino', 'moderno', 'urbano', 'independiente', 'dinamico']","['perfumes', 'cosmeticos', 'belleza']","['sisterland', 'benetton']",[],,,
23,botellas y termos lhotse hasta 30% de dcto ,lo_ultimo,5,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/cb83c48f-bfc1-4509-b24b-a1a0be65eb3d.webp,2024-03-05 19:20:15.866029,"Botella térmica Lhotse de acero inoxidable con aislamiento al vacío. Mantiene las bebidas frías por 24 horas y calientes por 12 horas. Capacidad de 750 ml. Libre de BPA. Incluye bombilla de acero inoxidable y tapa con pico vertedor. Ideal para llevar a la playa, el campo o la montaña.",,"['deportista', 'aventurero', 'amante de la naturaleza', 'saludable', 'activo']","['deportes', 'vida saludable', 'naturaleza']",['Lhotse'],[],,,
24,oster te acompana en marzo,lo_ultimo,6,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/142cf416-98c8-4f43-83e3-13d80bf9bf91.webp,2024-03-05 19:20:15.866029,Oster te acompaña en marzo con promociones en electrodomésticos de cocina y hogar. ¡Aprovecha!,,"['moderno', 'urbano', 'dinámico', 'independiente', 'saludable']","['electrodomésticos', 'cocina', 'hogar']",['oster'],[],,,
25,amo mi cama,lo_ultimo,7,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/b46a7a9c-746e-4743-bafd-e6a7efd2974c.webp,2024-03-05 19:20:15.866029,20% de descuento en toda la categoría Dormitorio,,"['femenino', 'moderno', 'minimalista', 'romantico', 'elegante']","['dormitorio', 'camas', 'blancos']",,[],,,
26,alaniz,lo_ultimo,8,https://cms-paris.ecomm.cencosud.com/cms/cl/ecommerce-content-assets/view_version/65e62b85b4d254400cb54f96/265113c4-8cef-4337-800c-36765322a02f.webp,2024-03-05 19:20:15.866029,Alaniz presenta su nueva colección Otoño-Invierno 2024. ¡No te pierdas las últimas tendencias en moda!,,"['moderno', 'urbano', 'casual', 'minimalista', 'versátil']","['moda', 'otoño', 'invierno']",['Alaniz'],[],,,
